segment_id,point_seq,timestamp,original_lon,original_lat,matched_link_id,path_occurrence,projected_lon,projected_lat,lateral_error_m,match_status
mbtav:4624d3319dcfdec1:s01,1,2026-09-21T12:48:42-04:00,-71.066203,42.339394,15893,1,-71.06619746698766,42.33940328990688,1.128122562325221,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,2,2026-09-21T12:52:07-04:00,-71.07634735107422,42.33706665039063,15275,15,-71.07626678074278,42.33700597679301,9.46067951680893,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,3,2026-09-21T12:52:30-04:00,-71.077011,42.336463,15298,17,-71.07701930953628,42.33646936105119,0.9839477048179798,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,4,2026-09-21T12:52:46-04:00,-71.078186,42.335521,8567,19,-71.07821070233193,42.33553769631814,2.7538331653663435,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,5,2026-09-21T12:53:04-04:00,-71.07919,42.33472,8656,20,-71.07920499842375,42.33473020783345,1.6773222789329043,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,6,2026-09-21T12:53:21-04:00,-71.080306,42.333786,8647,23,-71.08032916740477,42.33379861829479,2.3685143999667395,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,7,2026-09-21T12:53:42-04:00,-71.08067,42.33348,8650,24,-71.08064812074566,42.33347134929428,2.0431927990649865,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,8,2026-09-21T12:54:04-04:00,-71.08094,42.33315,8650,24,-71.08089242803541,42.33313119083838,4.442522147347102,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,9,2026-09-21T12:54:18-04:00,-71.081489,42.333223,8092,25,-71.08152296349195,42.33319016826719,4.597166239161584,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,10,2026-09-21T12:54:40-04:00,-71.082355,42.33373,8092,25,-71.08239796732859,42.33368846389732,5.815925354712021,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,11,2026-09-21T12:54:56-04:00,-71.082369,42.333724,8092,25,-71.08240287154202,42.33369125669825,4.58474847006612,matched_derived_monotone_projection
mbtav:4624d3319dcfdec1:s01,12,2026-09-21T12:55:13-04:00,-71.083786,42.334537,8460,26,-71.08388039251976,42.33443173566367,14.043665177389114,matched_derived_monotone_projection
