iteration,dual,best_dual,best_primal,gap,capacity_subgradient_norm,projected_subgradient_norm,max_current_capacity_violation,multiplier_positive_count,max_multiplier,step_coefficient,path_pool_size,wall_seconds
1,941500.0,941500.0,,,7411497.688691982,1224.9120745168223,901.412354,0,0.0,0.00408192563696647,200,0.6321196000208147
2,915703.4721226557,941500.0,,,7411344.48153454,8626.009524209541,901.412354,3,3.6794981972708953,0.0004098690009569311,217,1.2859575999900699
3,938209.1075502107,941500.0,,,7411443.845523453,7229.980501035512,1354.1774169999999,4,1.6717189727049107,0.0003992751219086517,220,1.9298598999739625
4,937547.8469877738,941500.0,,,7411431.499345224,7367.396691488366,901.412354,3,1.5510592254319382,0.0003393328884934725,220,2.5435623999801464
5,940117.3555579508,941500.0,,,7411499.993887832,5635.207960653262,1954.1774169999999,2,0.3058788578065206,0.00039680309814876347,220,3.150846900010947
6,941610.5602845885,941610.5602845885,,,7411470.4984562,2518.6637152063604,901.412354,3,0.775423653397948,0.000810446206055766,220,3.7828340000123717
7,941225.9130895366,941610.5602845885,,,7411499.993887832,2509.0323275512224,1954.1774169999999,1,0.9179445771958714,0.0007532076587034548,220,4.452922499971464
8,937847.7700317911,941610.5602845885,,,7411405.096469391,7100.132349907986,901.412354,3,1.4719013969497348,0.00024897661984980856,220,5.051854399964213
9,940699.9251611172,941610.5602845885,,,7411499.993887832,5635.207960653262,1954.1774169999999,3,0.9174766764242145,0.0002957595670477187,220,5.682410700013861
10,942452.4034709057,942452.4034709057,943155.5897709999,0.0007455676536517777,7411470.4984562,2518.6637152063604,901.412354,3,0.829166523517457,7.759398736192983e-05,220,6.343067899986636
