od_index,o_node_id,d_node_id,demand,reconstructed_flow,raw_residual,tolerance,passes
0,1642,2032,11.019329138625709,11.01932859696337,-5.416623398701859e-07,1.110193291386257e-06,True
1,2032,2682,3.4843078114273083,3.4843077976949575,-1.373235081203461e-08,1.034843078114273e-06,True
2,2032,3858,11.5025536981116,11.502553600164921,-9.794667832352388e-08,1.115025536981116e-06,True
3,2032,5012,3.393024862908005,3.3930247627925256,-1.001154794622039e-07,1.03393024862908e-06,True
4,2032,524,10.571522241582851,10.571522138211057,-1.0337179467967417e-07,1.1057152224158284e-06,True
5,2682,1492,3.6723058897857026,3.672305723859928,-1.6592577445351253e-07,1.036723058897857e-06,True
6,2682,2032,4.191080116606083,4.191079760736251,-3.5586983226920665e-07,1.0419108011660608e-06,True
7,2682,4914,3.826407327875154,3.826407036838526,-2.9103662768648064e-07,1.0382640732787514e-06,True
8,3858,1492,11.312533586643216,11.312532830137007,-7.56506208787755e-07,1.1131253358664322e-06,True
9,3858,2032,13.81968340642674,13.819682705832994,-7.005937465720535e-07,1.1381968340642675e-06,True
10,3858,4914,12.180233461190973,12.180233020108329,-4.410826441869631e-07,1.1218023346119097e-06,True
11,4285,1492,10.417635392734043,10.417635055827928,-3.369061154501196e-07,1.1041763539273404e-06,True
12,4285,2032,12.358840177562858,12.358839841326843,-3.3623601503052214e-07,1.1235884017756286e-06,True
13,4285,4914,10.858108120450902,10.858107617915067,-5.025358351673503e-07,1.108581081204509e-06,True
14,4575,2032,6.508237767338373,6.5082374193927075,-3.479456651689361e-07,1.0650823776733837e-06,True
15,4575,4914,6.082156115965258,6.082155699983674,-4.159815842896819e-07,1.0608215611596526e-06,True
16,4694,2032,3.4547572897384677,3.4547568998662173,-3.8987225048359164e-07,1.0345475728973846e-06,True
17,5012,1492,3.3208129545536664,3.3208122553142596,-6.992394068205954e-07,1.0332081295455367e-06,True
18,5012,2032,4.0845502256231665,4.08454958229745,-6.433257162541395e-07,1.0408455022562316e-06,True
19,5012,4914,3.7165795460406628,3.7165791867307756,-3.5930988717680634e-07,1.0371657954604066e-06,True
20,5039,1492,6.170063954802594,6.170063733433308,-2.213692864572181e-07,1.061700639548026e-06,True
21,5039,2032,6.748338099945884,6.748337873418208,-2.2652767572850507e-07,1.0674833809994589e-06,True
22,5039,4914,6.576457247270275,6.57645688443523,-3.6283504467604644e-07,1.0657645724727027e-06,True
23,524,1492,10.41939928214149,10.419398456670903,-8.254705861077127e-07,1.1041939928214148e-06,True
24,524,2032,12.73875820609437,12.738757436536284,-7.695580865885177e-07,1.1273875820609437e-06,True
25,524,4914,11.232802713653355,11.23280220360634,-5.100470144014935e-07,1.1123280271365335e-06,True
