route_id,fare_id,price_hkd,currency,status
1000007,1000007-1-19-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-3,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-4,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-5,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-6,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-7,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-2-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-4,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-5,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-6,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-7,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-3-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-5,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-6,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-7,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-4-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-6,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-7,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-5-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-7,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-6-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-18,8.6,HKD,GTFS published fare; no fare collection observation
