tier,o_zone_id,d_zone_id,person_trips,straight_distance_m,method
smoke,13,30,0.2567314008078546,704.353,top5 population-weighted exponential distance; 1200 m decay
smoke,14,11,0.6103987836627577,426.756,top5 population-weighted exponential distance; 1200 m decay
smoke,14,34,0.5689807429864937,213.19,top5 population-weighted exponential distance; 1200 m decay
smoke,14,94,0.4329698976071664,971.057,top5 population-weighted exponential distance; 1200 m decay
smoke,14,30,0.4289333060975226,694.29,top5 population-weighted exponential distance; 1200 m decay
smoke,14,91,0.4168424708284435,1743.135,top5 population-weighted exponential distance; 1200 m decay
smoke,15,80,0.29446597517859113,606.938,top5 population-weighted exponential distance; 1200 m decay
smoke,15,94,0.24430157216220028,290.728,top5 population-weighted exponential distance; 1200 m decay
smoke,15,91,0.19802732524427002,1269.253,top5 population-weighted exponential distance; 1200 m decay
smoke,15,11,0.16948738445934877,597.311,top5 population-weighted exponential distance; 1200 m decay
smoke,15,57,0.1417177429555899,345.489,top5 population-weighted exponential distance; 1200 m decay
smoke,16,80,0.21086920458647748,736.549,top5 population-weighted exponential distance; 1200 m decay
smoke,16,91,0.20137132621391,978.059,top5 population-weighted exponential distance; 1200 m decay
smoke,16,17,0.14971063905274315,353.767,top5 population-weighted exponential distance; 1200 m decay
smoke,16,94,0.1458318781911238,638.767,top5 population-weighted exponential distance; 1200 m decay
smoke,16,30,0.13621695195574549,432.607,top5 population-weighted exponential distance; 1200 m decay
smoke,17,91,1.22458860656416,740.007,top5 population-weighted exponential distance; 1200 m decay
smoke,17,80,0.8855221427832692,942.822,top5 population-weighted exponential distance; 1200 m decay
smoke,17,87,0.7705668827341838,541.415,top5 population-weighted exponential distance; 1200 m decay
smoke,17,30,0.7409844688350853,328.331,top5 population-weighted exponential distance; 1200 m decay
smoke,17,86,0.6823378990833017,505.045,top5 population-weighted exponential distance; 1200 m decay
smoke,18,91,0.5890259145958353,1014.171,top5 population-weighted exponential distance; 1200 m decay
smoke,18,80,0.5673304672210481,873.0,top5 population-weighted exponential distance; 1200 m decay
smoke,18,17,0.46657447668818786,313.807,top5 population-weighted exponential distance; 1200 m decay
smoke,18,30,0.4578921526124529,301.841,top5 population-weighted exponential distance; 1200 m decay
smoke,18,11,0.42317698888247607,552.293,top5 population-weighted exponential distance; 1200 m decay
smoke,19,91,0.27877646075478535,1073.429,top5 population-weighted exponential distance; 1200 m decay
smoke,19,80,0.2671844294758108,938.19,top5 population-weighted exponential distance; 1200 m decay
smoke,19,30,0.2350968054044673,263.391,top5 population-weighted exponential distance; 1200 m decay
smoke,19,17,0.224372794680014,353.924,top5 population-weighted exponential distance; 1200 m decay
smoke,19,11,0.2205695096849225,495.772,top5 population-weighted exponential distance; 1200 m decay
smoke,20,91,0.4801291497022204,940.195,top5 population-weighted exponential distance; 1200 m decay
smoke,20,30,0.4055528708586747,128.227,top5 population-weighted exponential distance; 1200 m decay
smoke,20,17,0.3775916924081775,248.458,top5 population-weighted exponential distance; 1200 m decay
smoke,20,80,0.3443549810590792,1152.849,top5 population-weighted exponential distance; 1200 m decay
smoke,20,87,0.3063713059718484,724.831,top5 population-weighted exponential distance; 1200 m decay
smoke,21,91,0.3499131521765077,1176.832,top5 population-weighted exponential distance; 1200 m decay
smoke,21,30,0.34327597681286576,185.279,top5 population-weighted exponential distance; 1200 m decay
smoke,21,80,0.31656302212694,1110.823,top5 population-weighted exponential distance; 1200 m decay
smoke,21,11,0.3137876673303323,448.901,top5 population-weighted exponential distance; 1200 m decay
smoke,21,17,0.2864601815533543,436.908,top5 population-weighted exponential distance; 1200 m decay
smoke,22,91,0.2380948797407515,1028.029,top5 population-weighted exponential distance; 1200 m decay
smoke,22,30,0.21883323489920828,114.727,top5 population-weighted exponential distance; 1200 m decay
smoke,22,17,0.18559527532197692,346.923,top5 population-weighted exponential distance; 1200 m decay
smoke,22,80,0.17121812037374398,1237.501,top5 population-weighted exponential distance; 1200 m decay
smoke,22,87,0.15225848966431924,810.063,top5 population-weighted exponential distance; 1200 m decay
smoke,23,91,0.27405764826139845,1094.73,top5 population-weighted exponential distance; 1200 m decay
smoke,23,30,0.2653889107800291,118.767,top5 population-weighted exponential distance; 1200 m decay
smoke,23,17,0.21515060157112806,405.103,top5 population-weighted exponential distance; 1200 m decay
smoke,23,80,0.20230846157566665,1272.779,top5 population-weighted exponential distance; 1200 m decay
smoke,23,11,0.18709437781177793,694.106,top5 population-weighted exponential distance; 1200 m decay
smoke,24,30,0.22353611700694104,164.001,top5 population-weighted exponential distance; 1200 m decay
smoke,24,91,0.21658403757646966,1216.447,top5 population-weighted exponential distance; 1200 m decay
smoke,24,11,0.18814771112881964,526.655,top5 population-weighted exponential distance; 1200 m decay
smoke,24,80,0.18014711979885012,1251.288,top5 population-weighted exponential distance; 1200 m decay
smoke,24,17,0.17558501448891947,488.246,top5 population-weighted exponential distance; 1200 m decay
smoke,25,30,0.27924361824019256,232.767,top5 population-weighted exponential distance; 1200 m decay
smoke,25,91,0.27120296842223274,1282.361,top5 population-weighted exponential distance; 1200 m decay
smoke,25,11,0.26297811309232116,460.623,top5 population-weighted exponential distance; 1200 m decay
smoke,25,80,0.23564281939673776,1264.816,top5 population-weighted exponential distance; 1200 m decay
smoke,25,17,0.22093248084851586,548.346,top5 population-weighted exponential distance; 1200 m decay
