source_turn_id,source_edge_sequence,from_link_id,to_link_id,via_node_id,no_turn,included_vehicle_types,excluded_vehicle_types,part_time_restriction,status
4695,104268|104268,308537,308536,10407,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4699,104319|104319,308638,308639,10320,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4699,104319|104319,308639,308638,10325,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4702,104231|104231,308462,308463,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4702,104231|104231,308463,308462,10390,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4703,104295|104306,308590,308612,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4704,105320|105320,310640,310641,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4704,105320|105320,310641,310640,10200,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2878,104270|104270,308540,308541,10410,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2878,104270|104270,308541,308540,10408,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2879,104157|104157,308314,308315,10418,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2879,104157|104157,308315,308314,10417,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2880,104943|104167,309886,308334,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4446,104685|104528,309370,309057,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4447,105175|105175,310350,310351,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4447,105175|105175,310351,310350,10495,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4449,104660|104563,309320,309126,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3906,105422|105422,310844,310845,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3906,105422|105422,310845,310844,10160,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141423,105506|105506,311012,311013,10101,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141423,105506|105506,311013,311012,10105,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141426,260674|260674,621348,621349,10102,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141426,260674|260674,621349,621348,10105,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4706,105422|105422,310844,310845,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4706,105422|105422,310845,310844,10160,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2335,104678|104678,309356,309357,10446,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2335,104678|104678,309357,309356,10443,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3427,104685|104685,309370,309371,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3427,104685|104685,309371,309370,10368,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3428,104528|104528,309056,309057,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3428,104528|104528,309057,309056,10373,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3429,104530|104530,309060,309061,10391,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3429,104530|104530,309061,309060,10359,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3432,104674|104674,309348,309349,10385,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3432,104674|104674,309349,309348,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3433,104545|104545,309090,309091,10488,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3433,104545|104545,309091,309090,10496,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3439,104529|104529,309058,309059,10500,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3439,104529|104529,309059,309058,10459,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3451,105081|105081,310162,310163,10754,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3451,105081|105081,310163,310162,10761,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3456,106738|105447,313477,310894,10158,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3457,105421|105421,310842,310843,10152,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3457,105421|105421,310843,310842,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
597,104377|104377,308754,308755,10670,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
597,104377|104377,308755,308754,10668,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
600,104686|104826,309373,309653,10600,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
606,105184|105184,310368,310369,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
606,105184|105184,310369,310368,10498,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7286,104675|104675,309350,309351,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7286,104675|104675,309351,309350,10393,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7288,104674|104675,309349,309351,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7294,105317|105317,310634,310635,10238,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7294,105317|105317,310635,310634,10240,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3410,104948|104948,309896,309897,10552,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3410,104948|104948,309897,309896,10551,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3411,104286|104286,308572,308573,10540,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3411,104286|104286,308573,308572,10513,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140205,105175|105184,310350,310369,10494,-1,NA,NA,N,mapped_source_restriction_not_solver_enforced
140934,104662|104662,309324,309325,10578,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140934,104662|104662,309325,309324,10584,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
286,104158|104158,308316,308317,10420,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
286,104158|104158,308317,308316,10418,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3413,104294|104306,308589,308612,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3415,104303|104303,308606,308607,10615,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3415,104303|104303,308607,308606,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3417,104299|104299,308598,308599,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3417,104299|104299,308599,308598,10626,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3419,104961|104307,309923,308615,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3420,104307|104307,308614,308615,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3420,104307|104307,308615,308614,10585,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3422,104377|104377,308754,308755,10670,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3422,104377|104377,308755,308754,10668,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3426,104684|104684,309368,309369,10371,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3426,104684|104684,309369,309368,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
440,104212|104212,308424,308425,10474,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
440,104212|104212,308425,308424,10471,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
432,105444|105444,310888,310889,10250,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
432,105444|105444,310889,310888,10255,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5519,104302|104195,308604,308390,10398,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5548,105116|105116,310232,310233,10534,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5548,105116|105116,310233,310232,10517,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3471,105508|105508,311016,311017,10085,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3471,105508|105508,311017,311016,10090,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3475,109961|109961,319922,319923,10047,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3475,109961|109961,319923,319922,10046,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4707,105393|105421,310786,310842,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
431,104295|104231,308590,308463,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3412,104194|104194,308388,308389,10457,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3412,104194|104194,308389,308388,10463,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3431,105202|105184,310405,310369,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4697,104157|104157,308314,308315,10418,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4697,104157|104157,308315,308314,10417,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1038,105142|105141,310284,310283,10692,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1056,104563|104563,309126,309127,10381,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1056,104563|104563,309127,309126,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2333,104528|104528,309056,309057,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2333,104528|104528,309057,309056,10373,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6705,104949|105225,309898,310450,10551,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
526,104180|104180,308360,308361,10542,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
526,104180|104180,308361,308360,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
131,105175|105183,310350,310366,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2887,104308|104308,308616,308617,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2887,104308|104308,308617,308616,10582,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4435,104308|104961,308616,309922,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3458,105393|105393,310786,310787,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3458,105393|105393,310787,310786,10147,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6716,104275|104275,308550,308551,10652,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6716,104275|104275,308551,308550,10650,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6718,104378|104378,308756,308757,10670,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6718,104378|104378,308757,308756,10678,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6719,104354|104354,308708,308709,10728,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6719,104354|104354,308709,308708,10726,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6721,104686|104686,309372,309373,10597,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6721,104686|104686,309373,309372,10600,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6727,104578|104578,309156,309157,10413,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
