o_zone_id,d_zone_id,volume
1,80,0.04114512157356386
1,94,0.03192613207371036
1,91,0.030806251832965512
1,11,0.024851328040805944
1,17,0.02167116647895434
2,80,0.028953337382345012
2,91,0.022584297613883586
2,94,0.021933069778358474
2,11,0.017698998260338234
2,17,0.016030296965074704
3,80,0.06423712269614604
3,91,0.05259035167609649
3,94,0.047493151811788294
3,11,0.039800964613804744
3,17,0.037745075868831135
4,80,0.050792358275493325
4,91,0.04476774878580187
4,94,0.03592620710125027
4,17,0.032530523372985475
4,11,0.031449829131135726
5,80,0.07031850896369417
5,94,0.06786115683367965
5,11,0.05257033265793076
5,91,0.05110609509171799
5,17,0.03734390645297745
6,80,0.08413780511411971
6,94,0.07498573941406116
6,91,0.06249323151120593
6,11,0.059160343498451166
6,17,0.04535621379549536
7,80,0.03703151403403791
7,94,0.032618244835557864
7,91,0.028978574178768285
7,11,0.027636885534747368
7,17,0.02146811475022192
8,80,0.041513850407650627
8,94,0.03524199727572414
8,91,0.033761855715587714
8,11,0.03094330690412554
8,17,0.02520565636357865
9,80,0.053330670134207524
9,91,0.045110103182845245
9,94,0.043762576542219295
9,11,0.03958873460915143
9,17,0.03394124886490988
10,80,0.04457165645365036
10,91,0.04042536203055787
10,94,0.0347839823356475
10,11,0.03282159298280637
10,17,0.030864072864004593
11,94,0.15527781817503464
11,80,0.1418277173055195
11,91,0.1215369749690526
11,30,0.11365754559535272
11,34,0.10262565513351023
12,11,0.058313360269963956
12,94,0.04256403751434612
12,34,0.04220954046527794
12,80,0.03773387083253967
12,30,0.03475370605972938
13,11,0.05453881514105361
13,34,0.04064530466022687
13,94,0.038948202635122046
13,80,0.035636824122550204
13,30,0.03423085344104728
14,11,0.08138650448836769
14,34,0.07586409906486584
14,94,0.05772931968095552
14,30,0.057191107479669684
14,91,0.05557899611045913
15,80,0.03926213002381215
15,94,0.03257354295496004
15,91,0.026403643365902674
15,11,0.02259831792791317
15,57,0.01889569906074532
16,80,0.028115893944863666
16,91,0.026849510161854665
16,17,0.019961418540365754
16,94,0.019444250425483176
16,30,0.018162260260766065
17,91,0.16327848087522134
17,80,0.11806961903776925
17,87,0.10274225103122452
17,30,0.09879792917801138
17,86,0.09097838654444022
18,91,0.07853678861277805
18,80,0.07564406229613975
18,17,0.06220993022509172
18,30,0.06105228701499373
18,11,0.05642359851766348
19,91,0.037170194767304716
19,80,0.03562459059677477
19,30,0.03134624072059564
19,17,0.02991637262400187
19,11,0.029409267957989666
20,91,0.06401721996029607
20,30,0.05407371611448997
20,17,0.05034555898775701
20,80,0.045913997474543895
20,87,0.040849507462913125
21,91,0.0466550869568677
21,30,0.04577013024171544
21,80,0.04220840295025866
21,11,0.04183835564404431
21,17,0.03819469087378057
22,91,0.03174598396543354
22,30,0.029177764653227772
22,17,0.024746036709596922
22,80,0.022829082716499197
22,87,0.020301131955242566
23,91,0.03654101976818646
23,30,0.03538518810400388
23,17,0.02868674687615041
23,80,0.02697446154342222
23,11,0.024945917041570394
24,30,0.029804815600925474
24,91,0.02887787167686262
24,11,0.02508636148384262
24,80,0.024019615973180017
24,17,0.023411335265189265
25,30,0.037232482432025676
25,91,0.03616039578963103
25,11,0.03506374841230949
25,80,0.0314190425862317
25,17,0.02945766411313545
26,11,0.04328834344346519
26,30,0.03688523225737669
26,91,0.03590334892854584
26,34,0.034392890540162056
26,80,0.03326351816378358
27,30,0.061971461058108364
27,91,0.0605144776153081
27,11,0.054792997697899214
27,80,0.04913678909627755
27,17,0.04851760786574008
28,30,0.04647591031867851
28,91,0.045551495975632905
28,11,0.04387092776412998
28,34,0.040834846808012755
28,80,0.03713348580021254
29,11,0.027603883633095155
29,34,0.02452629512872719
29,30,0.022464448245705936
29,91,0.02178750640357967
29,80,0.02015119992222539
30,91,0.14216104133593027
30,17,0.11485976062664953
30,80,0.11152874752888452
30,11,0.09863950221460278
30,87,0.09041094829393297
31,91,0.06944250750002402
31,30,0.06169549349665864
31,80,0.06030611543342849
31,17,0.05678213017849592
31,11,0.049907086724726296
32,34,0.023809336240024726
32,11,0.02377957918293656
32,30,0.023564263839686076
32,91,0.023093900517417488
32,80,0.019086253553268488
33,34,0.05513500847294706
33,11,0.05111530221863578
33,30,0.05069206583042989
33,91,0.050182492905553246
33,80,0.04060846390576739
34,11,0.12229485030429309
34,30,0.1004326465156387
34,91,0.097840159168728
34,14,0.08807688057022973
34,94,0.08670836682422557
35,34,0.03822467121828604
35,11,0.03274468697348996
35,30,0.030142989669020803
35,91,0.02966195186308816
35,80,0.024692366942781704
36,11,0.029525061864498645
36,34,0.027951365515981066
36,30,0.02285320507547999
36,91,0.02215763866654064
36,94,0.02097939554416634
37,34,0.03047042589632576
37,11,0.029773541395803366
37,30,0.02565836115227305
37,91,0.02489520099076602
37,80,0.022002470564831803
38,91,0.022350775802410603
38,30,0.017729445095341224
38,17,0.015670733005315966
38,87,0.014331437250990555
38,80,0.013989350657701358
39,80,0.01110758766145948
39,91,0.00796735005638748
39,86,0.004996789936986664
39,87,0.0041190885732229785
39,92,0.00370199189841179
40,80,0.03595258297432578
40,91,0.01916501444449094
40,86,0.012420474851617125
40,94,0.01160095114735901
40,57,0.010787783045480842
41,80,0.05583374233288737
41,91,0.03716085743906379
41,86,0.023757890441144267
41,87,0.019406518134325496
41,94,0.01850765831924575
42,80,0.05828706489704826
42,91,0.04265439706937091
42,86,0.02726398169282643
42,87,0.022302810093929978
42,94,0.019891746246824434
43,80,0.08614145928760397
43,91,0.05157124457553056
43,86,0.03406995638775066
43,94,0.02923220892808417
43,87,0.027518464154363986
44,80,0.055464331479540996
44,91,0.03652720573550541
44,86,0.02377414174500186
44,87,0.019293433524613223
44,94,0.01880755418200517
45,80,0.05180545931720227
45,91,0.03602035376915786
45,86,0.023810492544104653
45,87,0.019243602264351668
45,94,0.018453425438516906
46,80,0.07073010532142303
46,91,0.04456894112805024
46,86,0.030267775078613085
46,94,0.027593762514624157
46,87,0.024439415957289518
47,80,0.058977069216870244
47,91,0.03282498020623178
47,94,0.02590773937933243
47,57,0.0233190350263896
47,86,0.022437842837842645
48,80,0.07869939426222143
48,91,0.05207709539211056
48,86,0.03573252705413154
48,94,0.035544354476297245
48,57,0.029946628815239226
49,80,0.04248187002682141
49,91,0.03182683485538806
49,86,0.02185883691842878
49,94,0.019722768151915298
49,87,0.01797635671411313
50,80,0.035028770877991
50,91,0.02798049063853245
50,86,0.01920389706492884
50,94,0.016565994190148568
50,87,0.01588751389506581
51,80,0.0528061187396937
51,91,0.030398733837548316
51,94,0.026099029925450403
