link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
10000132,66,10262,1,1,,,,,,0,,,,"LINESTRING(114.169044630 22.307262233,114.169326458 22.307524285)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000134,67,10273,1,1,,,,,,0,,,,"LINESTRING(114.169897926 22.307057272,114.169597092 22.306804215)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000136,68,10333,1,1,,,,,,0,,,,"LINESTRING(114.170384805 22.306971748,114.170626369 22.307229247)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000138,69,10356,1,1,,,,,,0,,,,"LINESTRING(114.170991518 22.306820559,114.171065598 22.307129267)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000140,70,10201,1,1,,,,,,0,,,,"LINESTRING(114.168393421 22.306730619,114.168153238 22.306476280)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000142,71,10247,1,1,,,,,,0,,,,"LINESTRING(114.168895763 22.306645090,114.169161553 22.306895332)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000144,72,10273,1,1,,,,,,0,,,,"LINESTRING(114.169313826 22.306544772,114.169597092 22.306804215)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000146,73,10288,1,1,,,,,,0,,,,"LINESTRING(114.169727448 22.306436903,114.169865694 22.306078906)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000148,74,10310,1,1,,,,,,0,,,,"LINESTRING(114.170154840 22.306340416,114.170267175 22.306002720)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000150,75,10351,1,1,,,,,,0,,,,"LINESTRING(114.170949688 22.306225142,114.170897493 22.306498329)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000152,76,10186,1,1,,,,,,0,,,,"LINESTRING(114.168260368 22.306071981,114.167980347 22.305795136)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000154,77,10235,1,1,,,,,,0,,,,"LINESTRING(114.168893048 22.305921578,114.169000589 22.306289325)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000156,78,10279,1,1,,,,,,0,,,,"LINESTRING(114.169795725 22.305738506,114.169694656 22.305425910)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000158,79,10345,1,1,,,,,,0,,,,"LINESTRING(114.170864892 22.305580688,114.170762803 22.305914568)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000160,80,10191,1,1,,,,,,0,,,,"LINESTRING(114.168318223 22.310434985,114.168037671 22.310182271)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000162,81,10265,1,1,,,,,,0,,,,"LINESTRING(114.169247201 22.310573068,114.169375503 22.310649362)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000164,82,10289,1,1,,,,,,0,,,,"LINESTRING(114.169881409 22.311884212,114.169887129 22.311759881)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000166,83,10437,1,1,,,,,,0,,,,"LINESTRING(114.172517667 22.311382687,114.172809123 22.310641573)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000168,84,10532,1,1,,,,,,0,,,,"LINESTRING(114.175413749 22.311657995,114.174997685 22.311212815)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000170,85,10374,1,1,,,,,,0,,,,"LINESTRING(114.171683597 22.309618446,114.171437326 22.309507532)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000172,86,10483,1,1,,,,,,0,,,,"LINESTRING(114.174233307 22.309401328,114.174001216 22.309553792)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000174,87,10700,1,1,,,,,,0,,,,"LINESTRING(114.178475847 22.308865183,114.178978816 22.309088946)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
