mode,S1_probability,S2_probability,change_percentage_points
DA,0.72650000000000003,0.72554857844819398,-0.095142155180605315
S2,0.10296,0.1028251639876477,-0.013483601235229903
S3,0.035790000000000002,0.035743129556312273,-0.0046870443687729857
WK,0.038089999999999999,0.038040117485329261,-0.0049882514670737677
BK,0.01789,0.017866571326136532,-0.0023428673863467447
TW,0.040989999999999999,0.042245915736266286,0.12559157362662873
TA,0.027890000000000002,0.027853475365340857,-0.0036524634659144267
SB,0,0,0
RS,0.0098899999999999995,0.0098770480947730742,-0.0012951905226925298
