node_id,x_km,y_km,origin_pce,destination_pce
1026,-0.5894997676378599,-1.4633584307999357,0.45505954494562506,0.8648175231343843
1090,-0.669746240040579,0.24186956759965078,0.08743236858756581,0.08927398380503795
1091,-0.8490214994335145,0.21533180759986978,0.18756556363644344,0.17133926656004084
1111,-0.026244232824275664,-1.1793822840000563,34.63216408148427,20.04006958157087
1159,1.7801652346186236,-0.018731235600477247,1.2010182073426012,1.4345440156179086
1253,1.29678595575703,0.3742487603996518,11.255603533856814,1.4201547392191614
1298,0.765796841362649,1.3846739723996617,0.0002027910294730388,0.0002445842002755824
1301,0.5978831134826638,1.2685933871999944,1.3382478855933524,2.472423848678473
1492,1.812234206264261,0.6079579667997923,168.94844232225992,269.75838503095963
1624,1.9621389605851844,-1.4800882769998092,0.2530982092628453,0.21630335335006592
1635,1.7526951739918906,1.9132840368000696,0.024135954658157426,0.02005140646176619
1642,1.7732298464462464,1.8765181818001846,47.280741281720736,39.36065739680944
1810,-0.07534316119172109,-0.5739011748001388,32.90388445719597,20.23382955310177
1816,0.8891611896989481,0.2514342185998583,0.02005140646176619,0.014697796987857824
1832,2.6532590303671895,-1.4570004258002747,23.807153206858672,11.477363826256985
1886,0.7438224382676116,1.2129746651997824,18.74486870821347,6.619177201753068
1952,0.6406719081277468,-0.051991894800255165,2.789277916151269,8.084048108010528
1958,-0.8686265172457617,-1.1510200530001675,0.20064349323569758,0.22854764965517016
1963,-2.2681927866919285,0.1669335677999696,0.3648941552999492,0.33294985207933264
2032,1.9292226046195629,0.8913370139997651,220.27551993165955,316.8819379111905
2038,1.6785120243451612,1.4567350481995305,1.8450344664360703,12.346592694295133
2055,2.4046792514409496,0.7388886402001507,0.11069324239482764,0.07875510847527513
2106,-1.9842779043244703,-0.3365430263997829,0.20891081234039754,0.18863265749351496
2133,-1.6048224966335156,-0.20071392480032105,1.8543662934178113,2.1180774851195774
2172,2.3454857545229046,-0.25544805480040955,0.23613824798336316,0.20638827679726957
2173,-0.08598071386904257,-0.2572061814005276,8.634706468549595,35.08845789440274
2192,-1.0360795313199804,0.16493217840015145,0.0002733624417478905,0.0003298807898140185
2193,-1.3537005647473235,0.07849648259964853,1.493367149688725,1.7898356317592534
2196,-0.9318923951183103,-1.5413573304000547,0.028525818603770164,0.06096684712682848
2207,-1.1898592178230107,-0.5339729034002243,0.1198269714431984,0.10240140964945339
2226,1.5944811171153737,1.794041035199587,1.5953252958220332,1.8969470759141567
2255,1.5878172210069417,0.34865087939985484,20.085293245721104,18.354977803058738
2266,0.5316225958773099,-0.30396792600015976,24.409876456571457,16.482048153231048
2269,-1.060612541439629,0.03425582519962239,0.29856828586459877,0.2987006806067531
2274,1.24405890617502,-1.56561726599993,0.0040642486510398795,0.0034032029610045387
2275,-0.28864542590129366,-0.6583133663997793,1.6827611021894842,1.9263291392054689
2373,2.0762067624980607,-1.0951027812003948,0.23690257071929183,0.21113208915957674
2418,2.6034525772264354,-0.407896428600024,0.060370079127223975,0.08878967941825279
2419,2.7117367754801815,-0.285347264400189,0.7137709958510018,0.8517213464932074
2474,-1.7197294558346314,-1.5312287520003283,2.0110850105533946,2.3566530801779124
2682,-3.1224713597225104,1.8151938414000786,3.794677244846355,5.4721104234445
2852,-0.5147818608961537,-0.9107538084003971,19.429509767089144,11.882726114755947
2871,0.10454912561948447,0.3166065342001487,15.227514663285067,5.231149008661328
2882,0.5064561042759016,0.31709305979954894,1.0045860660423165,1.2376139797472572
2895,-0.8000788846785728,-0.5925660659998407,54.61312888247569,37.703981874579924
2919,2.7229502204147114,0.38276295840015445,0.11922737554328602,0.1440240962177692
2929,2.3813720691237585,1.3554271493996495,0.04939174753649598,0.06216779542241624
2989,2.2826559093585495,0.26135270639948677,0.18033787360462392,0.7149347210431173
3027,1.1098842374830677,1.8362250161999345,20.477741845115432,16.64115708182626
3038,0.3215371007693426,0.5835985145995398,0.15338170174193255,2.352977970017096e-09
3043,0.014973198664025376,0.4612815558000614,0.1431433287460847,0.16792157429565435
