zone_id,centroid_lon,centroid_lat,production_person_midday,attraction_person_midday,selected_origin,selected_destination
h3r9:892a3064437ffff,-71.10465458918958,42.342150849038894,54.50402517402394,64.52427866805681,1,1
h3r9:892a3064483ffff,-71.10214342325979,42.35559540952319,18.638428160577792,20.619093574774872,1,1
h3r9:892a3064487ffff,-71.09999656167555,42.35290887106715,1.2265969290471086,1.016064622678391,1,1
h3r9:892a306448fffff,-71.10441191880393,42.3529046178769,4.430941244007226,4.9353215388399985,1,1
h3r9:892a3064493ffff,-71.09987467066155,42.35828623091501,66.43996914860749,69.20576297177202,1,1
h3r9:892a3064497ffff,-71.09772782292913,42.35559956731497,11.274518046625289,13.250580338693844,1,1
h3r9:892a306449bffff,-71.10429054125026,42.358281999072396,37.7127255206874,33.94915813711715,1,1
h3r9:892a30644a3ffff,-71.10011842432637,42.347531842377755,177.86327822983807,190.80719836249156,1,1
h3r9:892a30644a7ffff,-71.09797206156837,42.34484553132703,225.2032369342139,216.8463786319151,1,1
h3r9:892a30644abffff,-71.10453326811377,42.34752756784433,66.35648374856437,69.1294956473707,1,1
h3r9:892a30644afffff,-71.1023866352248,42.34484133080672,139.79956553809834,126.76490370565311,1,1
h3r9:892a30644b3ffff,-71.09784995645772,42.35022238372684,121.84804166250315,134.3921973763381,1,1
h3r9:892a30644b7ffff,-71.09570360756634,42.347535947524804,124.24340713600499,112.54249152951743,1,1
h3r9:892a30644bbffff,-71.10226504339157,42.35021820456856,94.31097871106275,108.51432152094502,1,1
h3r9:892a3064553ffff,-71.10477588204127,42.336774461524726,54.34813680434323,62.65336613031965,1,1
h3r9:892a3064583ffff,-71.08712077446798,42.336790714550645,114.91551275742373,125.88332132660884,1,1
h3r9:892a306458bffff,-71.09153451073917,42.33678690524089,30.067633382015178,31.01441654197474,1,1
h3r9:892a3064593ffff,-71.08485211923596,42.339480659896665,105.8739513372391,105.79513246810191,1,1
h3r9:892a3064597ffff,-71.08270706536511,42.33679435456774,110.91765198834206,98.12113665078911,1,1
h3r9:892a306459bffff,-71.08926609845224,42.339476945974006,47.866720717561385,50.40558390973351,1,1
h3r9:892a30645c3ffff,-71.09809413827105,42.33946901017971,34.20799120053129,36.31727973888836,1,1
h3r9:892a30645c7ffff,-71.09594827412651,42.33678292663542,74.50081821557596,78.53728096267614,1,1
h3r9:892a30645cbffff,-71.10250819876933,42.33946478830187,106.7483309142925,126.21786242268905,1,1
h3r9:892a30645cfffff,-71.10036206457794,42.33677877873105,158.07112184184967,176.04063976637366,1,1
h3r9:892a30645d3ffff,-71.09582595507776,42.34215927143895,145.3722659980317,122.54885036295153,1,1
h3r9:892a30645d7ffff,-71.09368010481464,42.33947306273606,111.5067284064364,124.79725324258632,1,1
h3r9:892a30645dbffff,-71.10024025862387,42.342155144911,226.69490045385416,195.65947077586404,1,1
h3r9:892a3066003ffff,-71.06429659905191,42.36906935317497,38.95265816691649,36.519707018878414,1,1
h3r9:892a3066007ffff,-71.06215143000784,42.36638174525275,157.8349292259609,173.4285389777639,1,1
h3r9:892a306600bffff,-71.06871327899006,42.3690665203953,37.94946705736049,33.97697774022307,1,1
h3r9:892a306600fffff,-71.06656783938307,42.36637898638024,164.49691740437163,143.04499434485285,1,1
h3r9:892a3066017ffff,-71.05987994659004,42.369072016424475,32.801360103731284,29.837302698227017,1,1
h3r9:892a3066023ffff,-71.062277729206,42.361004072004306,137.67343621895697,141.29267511109865,1,1
h3r9:892a3066027ffff,-71.06013305855609,42.35831669168856,414.8800151715475,478.7913747124641,1,1
h3r9:892a306602bffff,-71.06669362500818,42.36100129141857,284.91595844259615,250.88197650265838,1,1
h3r9:892a306602fffff,-71.06454868387974,42.358313984970366,169.20764011776484,151.389666362516,1,1
h3r9:892a3066033ffff,-71.06000651730196,42.36369418856185,272.8812875756324,300.8131703153502,1,1
