link_id,from_node_id,to_node_id,source_link_id,geometry,is_physical,is_centroid_connector,fw_volume,full_path_volume,rank26_v_from_paths,rank52_v_from_paths,rank26_minus_fw,rank52_minus_fw,full_path_minus_fw
15570,5049,4222,15570,"LINESTRING (-71.0743096 42.3840436, -71.0739132 42.3839834)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15571,4222,4663,15571,"LINESTRING (-71.0739132 42.3839834, -71.0738144 42.3839193)",True,False,11.121942726217497,11.121942726217496,11.121941023426476,11.121941024342483,-1.7027910210742903e-06,-1.701875014248344e-06,-1.7763568394002505e-15
15572,4195,5047,15572,"LINESTRING (-71.073839 42.3847426, -71.0739702 42.3844848)",True,False,3.393024862908005,3.393024862908005,3.3930247615176516,3.3930247627925256,-1.0139035344636227e-07,-1.001154794622039e-07,0.0
15581,4196,2413,15581,"LINESTRING (-71.0775906 42.3858659, -71.0773348 42.3857947)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15582,2413,2414,15582,"LINESTRING (-71.0773348 42.3857947, -71.0772427 42.3857683)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15583,5289,5290,15583,"LINESTRING (-71.0761368 42.3856861, -71.076591 42.3860977)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15584,947,948,15584,"LINESTRING (-71.0573218 42.3616868, -71.0575896 42.361535)",True,False,0.0,0.0,2.0813842721220587e-10,2.2062505827082697e-10,2.0813842721220587e-10,2.2062505827082697e-10,0.0
15585,948,947,15585,"LINESTRING (-71.0575896 42.361535, -71.0573218 42.3616868)",True,False,25.46710080260246,25.467100802602456,25.467100498104447,25.467100496952966,-3.0449801258214393e-07,-3.05649493270721e-07,-3.552713678800501e-15
15586,1020,1022,15586,"LINESTRING (-71.0575887 42.353411, -71.0568689 42.3532315)",True,False,6.082156115965258,6.082156115965258,6.082155699204185,6.0821556985638265,-4.1676107276344965e-07,-4.1740143164048504e-07,0.0
15587,1022,1020,15587,"LINESTRING (-71.0568689 42.3532315, -71.0575887 42.353411)",True,False,0.0,0.0,5.01701151177154e-10,3.393036525177619e-10,5.01701151177154e-10,3.393036525177619e-10,0.0
15588,1253,1254,15588,"LINESTRING (-71.0642375 42.3533846, -71.064556 42.3523719)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15589,1065,1387,15589,"LINESTRING (-71.0674872 42.3525186, -71.067575 42.3527872)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15590,1487,1488,15590,"LINESTRING (-71.0573423 42.3554387, -71.0575027 42.3551036)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15591,1488,1487,15591,"LINESTRING (-71.0575027 42.3551036, -71.0573423 42.3554387)",True,False,0.0,0.0,5.01701151177154e-10,3.393036525177619e-10,5.01701151177154e-10,3.393036525177619e-10,0.0
15592,1487,1492,15592,"LINESTRING (-71.0573423 42.3554387, -71.0579722 42.3554982)",True,False,35.47038121607242,35.47038121607242,35.470378597037076,35.47037859579169,-2.619035342377174e-06,-2.6202807248409954e-06,0.0
15593,1487,1494,15593,"LINESTRING (-71.0573423 42.3554387, -71.0580756 42.3554133)",True,False,0.0,0.0,9.731933367292944e-10,2.497707759951322e-09,9.731933367292944e-10,2.497707759951322e-09,0.0
15594,1816,1387,15594,"LINESTRING (-71.0691922 42.3522739, -71.067575 42.3527872)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15595,2030,2033,15595,"LINESTRING (-71.0568043 42.3588803, -71.0578304 42.3588328)",True,False,3.4843078114273083,3.4843078114273083,3.4843077970528933,3.4843077976949575,-1.4374414991635831e-08,-1.373235081203461e-08,0.0
15596,2048,2050,15596,"LINESTRING (-71.0484087 42.3531322, -71.0466711 42.3522566)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15597,2048,2052,15597,"LINESTRING (-71.0484087 42.3531322, -71.0495583 42.3516179)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15598,2052,2048,15598,"LINESTRING (-71.0495583 42.3516179, -71.0484087 42.3531322)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15599,2170,2172,15599,"LINESTRING (-71.0627832 42.3466799, -71.0514905 42.3476898)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15600,2189,2166,15600,"LINESTRING (-71.056257 42.3529172, -71.0579946 42.3523784)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15601,2189,2191,15601,"LINESTRING (-71.056257 42.3529172, -71.0554434 42.3525863)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
