case,problem_contract,status,admm_objective_vehicle_min,arc_lp_objective_vehicle_min,relative_difference_fraction,outer_iterations,primal_residual,capacity_and_conservation_gate,source
Sioux_200OD,selected_OD_finite_space_time_shared_capacity,PASS,943159.6822679092,943155.5897710002,4.339153532411317e-06,74,1.1141733749792995,PASS,DISTRIBUTED_ASSIGNMENT_ALGORITHMS_R1_RECEIVER_REVIEW/ALGORITHM_RESULT_MATRIX.csv
Sioux_250OD,selected_OD_finite_space_time_shared_capacity,PASS,1521100.0657879733,1521090.83662,6.067466683250743e-06,94,1.4126776236383667,PASS,DISTRIBUTED_ASSIGNMENT_ALGORITHMS_R1_RECEIVER_REVIEW/ALGORITHM_RESULT_MATRIX.csv
