path_index,path_id,od_index,o_node_id,d_node_id,membership,raw_flow,link_id_sequence
28,OD005_P03,5,2682,1492,minor,1.0607852585840707e-09,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16285;16287;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036
29,OD005_P04,5,2682,1492,minor,1.0501479866360232e-09,14190;13491;14027;13489;14191;14115;13490;14110;14112;14113;14104;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16286;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036
30,OD006_P00,6,2682,2032,major,4.191079756868833,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006
31,OD006_P01,6,2682,2032,minor,8.426823395155048e-10,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006
32,OD006_P02,6,2682,2032,minor,8.418824492083915e-10,14190;13491;14027;13489;14191;14115;13490;14110;14112;14113;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006
33,OD006_P03,6,2682,2032,minor,7.803215910950825e-10,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958
34,OD006_P04,6,2682,2032,minor,8.554688387976069e-10,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958
35,OD007_P00,7,2682,4914,major,3.826407035993441,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
36,OD007_P01,7,2682,4914,minor,1.1372229383387875e-10,14190;13491;14027;13489;14191;14188;14194;14192;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
37,OD007_P02,7,2682,4914,minor,3.2129439165419155e-11,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825
