link_index,link_id,from_node_id,to_node_id,v_solver,v_from_paths,raw_residual,tolerance,current_cost_minutes,effective_capacity,vdf_fftt,vdf_alpha,vdf_beta
0,4624,192,193,1.3522850852503701e-26,0.0,1.3522850852503701e-26,1.0099999999999999e-06,0.10623,2600.0,0.10623,0.25,2.0
1,4626,192,627,1.3422442465484282e-26,0.0,1.3422442465484282e-26,1.0099999999999999e-06,0.075522,2600.0,0.075522,0.25,2.0
2,4625,193,192,1.3522850852503701e-26,0.0,1.3522850852503701e-26,1.0099999999999999e-06,0.10623,2600.0,0.10623,0.25,2.0
3,4631,193,1769,-1.3633746962892248e-27,0.0,-1.3633746962892248e-27,1.0099999999999999e-06,0.012642,2600.0,0.012642,0.25,2.0
4,7132,194,195,2.379182107123987e-27,0.0,2.379182107123987e-27,1.0099999999999999e-06,0.101568,2600.0,0.101568,0.25,2.0
5,7098,194,5538,1.312188991444037e-26,0.0,1.312188991444037e-26,1.0099999999999999e-06,0.141972,2600.0,0.141972,0.25,2.0
6,7133,195,194,2.379182107123987e-27,0.0,2.379182107123987e-27,1.0099999999999999e-06,0.101568,2600.0,0.101568,0.25,2.0
7,7130,195,3303,6.636861627836864e-27,0.0,6.636861627836864e-27,1.0099999999999999e-06,0.081376,2600.0,0.081376,0.25,2.0
8,11370,233,220,1.2640290331788543e-26,0.0,1.2640290331788543e-26,1.0099999999999999e-06,0.424894,2600.0,0.424894,0.25,2.0
9,18687,247,248,6.716510742431563e-27,0.0,6.716510742431563e-27,1.0099999999999999e-06,0.173298,2600.0,0.173298,0.25,2.0
10,18683,248,4309,1.2891319478061346e-26,0.0,1.2891319478061346e-26,1.0099999999999999e-06,0.127826,2600.0,0.127826,0.25,2.0
11,18684,248,4311,7.371879322436643e-27,0.0,7.371879322436643e-27,1.0099999999999999e-06,0.063886,2600.0,0.063886,0.25,2.0
12,14994,249,250,8.768561008966945e-27,0.0,8.768561008966945e-27,1.0099999999999999e-06,0.075928,2600.0,0.075928,0.25,2.0
13,15008,249,251,1.1062962951796532e-26,0.0,1.1062962951796532e-26,1.0099999999999999e-06,0.102722,2600.0,0.102722,0.25,2.0
14,14995,250,249,8.768561008966945e-27,0.0,8.768561008966945e-27,1.0099999999999999e-06,0.075928,2600.0,0.075928,0.25,2.0
15,15015,250,3582,5.618244983961577e-27,0.0,5.618244983961577e-27,1.0099999999999999e-06,0.032306,2600.0,0.032306,0.25,2.0
16,15009,251,249,1.1062962951796532e-26,0.0,1.1062962951796532e-26,1.0099999999999999e-06,0.102722,2600.0,0.102722,0.25,2.0
17,15002,251,2111,9.354290231085168e-27,0.0,9.354290231085168e-27,1.0099999999999999e-06,0.109612,2600.0,0.109612,0.25,2.0
18,14996,252,253,1.4728773741542394e-26,0.0,1.4728773741542394e-26,1.0099999999999999e-06,0.0715746666666666,8000.0,0.0715746666666666,0.25,2.0
19,15006,252,254,1.956352661935444e-27,0.0,1.956352661935444e-27,1.0099999999999999e-06,0.0704253333333333,8000.0,0.0704253333333333,0.25,2.0
20,14997,253,252,1.4728773741542394e-26,0.0,1.4728773741542394e-26,1.0099999999999999e-06,0.0715746666666666,8000.0,0.0715746666666666,0.25,2.0
21,15011,253,4995,1.5737752676150665e-26,0.0,1.5737752676150665e-26,1.0099999999999999e-06,0.074676,8000.0,0.074676,0.25,2.0
22,15007,254,252,1.956352661935444e-27,0.0,1.956352661935444e-27,1.0099999999999999e-06,0.0704253333333333,8000.0,0.0704253333333333,0.25,2.0
23,14957,254,2751,-7.411572034698625e-28,0.0,-7.411572034698625e-28,1.0099999999999999e-06,0.0724013333333333,8000.0,0.0724013333333333,0.25,2.0
24,14335,255,256,1.2694721734251885e-26,0.0,1.2694721734251885e-26,1.0099999999999999e-06,0.102308,2600.0,0.102308,0.25,2.0
25,14686,255,257,-4.108979240078907e-27,0.0,-4.108979240078907e-27,1.0099999999999999e-06,0.06525,2600.0,0.06525,0.25,2.0
26,14336,256,255,1.2694721734251885e-26,0.0,1.2694721734251885e-26,1.0099999999999999e-06,0.102308,2600.0,0.102308,0.25,2.0
27,14970,256,2827,6.63252289285821e-27,0.0,6.63252289285821e-27,1.0099999999999999e-06,0.386904,2600.0,0.386904,0.25,2.0
28,14988,256,2894,-5.617303673871036e-27,0.0,-5.617303673871036e-27,1.0099999999999999e-06,0.164806,2600.0,0.164806,0.25,2.0
29,14901,256,2895,4.7901340168263755e-28,0.0,4.7901340168263755e-28,1.0099999999999999e-06,0.154736,2600.0,0.154736,0.25,2.0
30,14687,257,255,-4.108979240078907e-27,0.0,-4.108979240078907e-27,1.0099999999999999e-06,0.06525,2600.0,0.06525,0.25,2.0
31,14422,257,4182,4.904518847985014e-28,0.0,4.904518847985014e-28,1.0099999999999999e-06,0.2350533333333333,8000.0,0.2350533333333333,0.25,2.0
32,16944,260,261,-2.7369752936717623e-27,0.0,-2.7369752936717623e-27,1.0099999999999999e-06,0.040108,2600.0,0.040108,0.25,2.0
33,16928,261,3021,3.8156324305194766e-28,0.0,3.8156324305194766e-28,1.0099999999999999e-06,0.066176,8000.0,0.066176,0.25,2.0
34,16929,261,3022,-4.324360650211003e-27,0.0,-4.324360650211003e-27,1.0099999999999999e-06,0.076668,2600.0,0.076668,0.25,2.0
35,17152,262,263,-6.521732701711407e-27,0.0,-6.521732701711407e-27,1.0099999999999999e-06,0.138434,2600.0,0.138434,0.25,2.0
36,16619,263,264,1.4737674263549742e-26,0.0,1.4737674263549742e-26,1.0099999999999999e-06,0.584744,2600.0,0.584744,0.25,2.0
37,16927,264,260,7.158298686195977e-27,0.0,7.158298686195977e-27,1.0099999999999999e-06,0.140128,2600.0,0.140128,0.25,2.0
38,16948,264,265,8.657134406111877e-27,0.0,8.657134406111877e-27,1.0099999999999999e-06,0.120378,2600.0,0.120378,0.25,2.0
39,16932,265,260,9.086271284716584e-27,0.0,9.086271284716584e-27,1.0099999999999999e-06,0.019417,13200.0,0.019417,0.25,2.0
40,16931,265,3031,1.0672648182128021e-26,0.0,1.0672648182128021e-26,1.0099999999999999e-06,0.1234819999999999,2600.0,0.1234819999999999,0.25,2.0
41,5041,269,279,1.465484386849498e-26,0.0,1.465484386849498e-26,1.0099999999999999e-06,0.269424,2600.0,0.269424,0.25,2.0
42,8371,272,273,7.86275147455794e-27,0.0,7.86275147455794e-27,1.0099999999999999e-06,0.076158,2600.0,0.076158,0.25,2.0
43,8370,273,3971,-2.285969907941841e-27,0.0,-2.285969907941841e-27,1.0099999999999999e-06,0.114632,2600.0,0.114632,0.25,2.0
44,18495,277,278,5.479182412594622e-27,0.0,5.479182412594622e-27,1.0099999999999999e-06,0.159924,2600.0,0.159924,0.25,2.0
45,18496,277,280,-4.118665169164019e-27,0.0,-4.118665169164019e-27,1.0099999999999999e-06,0.05363,2600.0,0.05363,0.25,2.0
46,18565,278,2998,-2.881336839327078e-27,0.0,-2.881336839327078e-27,1.0099999999999999e-06,0.098254,2600.0,0.098254,0.25,2.0
47,18499,278,2999,1.4922070500142516e-26,0.0,1.4922070500142516e-26,1.0099999999999999e-06,0.026846,2600.0,0.026846,0.25,2.0
48,18501,278,4172,1.0870086460476626e-26,0.0,1.0870086460476626e-26,1.0099999999999999e-06,0.2115,2600.0,0.2115,0.25,2.0
