od_index,o_node_id,d_node_id,demand,reconstructed_flow,raw_residual,tolerance,passes
0,1642,2032,11.019329138625709,11.019328596902907,-5.417228017279285e-07,1.110193291386257e-06,True
1,2032,2682,3.4843078114273083,3.4843077970528933,-1.4374414991635831e-08,1.034843078114273e-06,True
2,2032,3858,11.5025536981116,11.502553600123456,-9.7988143821226e-08,1.115025536981116e-06,True
3,2032,5012,3.393024862908005,3.3930247615176516,-1.0139035344636227e-07,1.03393024862908e-06,True
4,2032,524,10.571522241582851,10.571522138097237,-1.0348561474415874e-07,1.1057152224158284e-06,True
5,2682,1492,3.6723058897857026,3.672305723191004,-1.665946984807931e-07,1.036723058897857e-06,True
6,2682,2032,4.191080116606083,4.191079760189187,-3.5641689599685833e-07,1.0419108011660608e-06,True
7,2682,4914,3.826407327875154,3.8264070363719394,-2.915032144557017e-07,1.0382640732787514e-06,True
8,3858,1492,11.312533586643216,11.312532830097588,-7.565456279223781e-07,1.1131253358664322e-06,True
9,3858,2032,13.81968340642674,13.81968270581256,-7.006141800047772e-07,1.1381968340642675e-06,True
10,3858,4914,12.180233461190973,12.18023302005412,-4.4113685326863106e-07,1.1218023346119097e-06,True
11,4285,1492,10.417635392734043,10.417635055769138,-3.369649057560764e-07,1.1041763539273404e-06,True
12,4285,2032,12.358840177562858,12.358839841281876,-3.362809817275547e-07,1.1235884017756286e-06,True
13,4285,4914,10.858108120450902,10.858107617852715,-5.025981870687701e-07,1.108581081204509e-06,True
14,4575,2032,6.508237767338373,6.508237419124101,-3.482142716393355e-07,1.0650823776733837e-06,True
15,4575,4914,6.082156115965258,6.082155699665527,-4.1629973157597533e-07,1.0608215611596526e-06,True
16,4694,2032,3.4547572897384677,3.454756899626088,-3.901123797334094e-07,1.0345475728973846e-06,True
17,5012,1492,3.3208129545536664,3.320812255033183,-6.995204833160074e-07,1.0332081295455367e-06,True
18,5012,2032,4.0845502256231665,4.084549582041383,-6.435817834216095e-07,1.0408455022562316e-06,True
19,5012,4914,3.7165795460406628,3.716579186351909,-3.5968875389258415e-07,1.0371657954604066e-06,True
20,5039,1492,6.170063954802594,6.170063733147566,-2.2165502855386876e-07,1.061700639548026e-06,True
21,5039,2032,6.748338099945884,6.748337873227645,-2.2671823884934383e-07,1.0674833809994589e-06,True
22,5039,4914,6.576457247270275,6.576456884278969,-3.629913063463164e-07,1.0657645724727027e-06,True
23,524,1492,10.41939928214149,10.419398456608661,-8.255328278750085e-07,1.1041939928214148e-06,True
24,524,2032,12.73875820609437,12.73875743649318,-7.696011898872257e-07,1.1273875820609437e-06,True
25,524,4914,11.232802713653355,11.232802203529374,-5.10123980390631e-07,1.1123280271365335e-06,True
