child_zone_id,parent_zone_id,relationship,allocation_weight,network_id,network_version,method
h3r9:892a3066037ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306603bffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066047ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306604fffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066063ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066067ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306606bffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306606fffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066073ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066077ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306607bffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660a3ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660a7ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
