case,status,official_adapter_solve,standard_verify,input_contract,physical_links,od_pairs,total_demand,first_thru,max_abs_flow_difference,flow_rmse,objective_relative_difference,recomputed_relative_gap,blocker
Sioux Falls classic UE,PASS,"yes, CLI and direct callable",certified,preserved exactly,76,528,360600.0,1,0.0,0.0,6.603040256245598e-16,4.498408203549506e-09,
Boston B0 interface,BOSTON_OFFICIAL_ADAPTER_BLOCKED_BY_CONVERTER_CONTRACT,no; stopped before solve,not applicable,violated by stock converter,5091,26,203.6604786350987,13,,,,,FIRST THRU NODE 13 instead of 1; 26/26 OD values rounded
Boston B1 frozen holdout,BOSTON_OFFICIAL_ADAPTER_BLOCKED_BY_CONVERTER_CONTRACT,no; stopped before solve,not applicable,violated by stock converter,5091,453,1936.2384749100008,132,,,,,FIRST THRU NODE 132 instead of 1; 453/453 OD values rounded; 3 positive OD set to zero
