o_zone_id,d_zone_id,volume
35,71,10.349852758647414
35,83,12.27919698513973
35,84,10.764622454903908
49,71,10.310363865761392
49,83,12.624094045005657
49,84,11.098201496805721
51,83,10.970795574477906
52,71,11.272779843206845
52,83,13.784547874998522
52,84,12.100127031238673
83,49,10.504679407324739
83,52,11.485180718882193
83,88,3.3467850138505004
83,91,3.4511489131637738
88,71,3.2848353420490133
88,83,4.0360751281650105
88,84,3.6679616545816018
91,71,3.6531488726400196
91,83,4.1553607406185087
91,84,3.7967137461367093
111,83,3.4020124905740308
173,71,6.112491910487158
173,83,6.6740145013931595
173,84,6.4938919054389235
177,83,6.4465646440339137
177,84,6.0129373087794749
