iteration,objective,primal_residual,dual_residual,primal_threshold,dual_threshold,capacity_residual,balance_residual,local_iterations,max_local_primal_correction_l2,wall_seconds
1,941500.0000000286,493.3084180703504,0.039898914686944315,1.7504617778387648,0.013765015294286977,875.6577153142862,4.5456305386437634e-08,26593,2.1975004265475758e-05,7.178691100038122
2,941499.9999999944,490.26429589617385,0.05471851157066913,1.750004526477507,0.013813972409392163,840.3370679739319,8.351094038516749e-09,693,2.0703896174259152e-05,7.577366400044411
3,941499.9999999885,489.8855948811813,0.04768327436873289,1.7496264768334246,0.013862785776734988,846.03212427991,4.498190264712321e-09,693,1.4225492735271347e-05,7.980426100024488
4,941508.5079893554,486.1955218353767,0.031648638470858866,1.7492376490790469,0.013911190860552876,855.5160401853091,7.675225788261741e-09,716,1.479200995436788e-06,8.364665700006299
5,941587.3185356632,446.56532591874776,0.13897516789217385,1.7476296440455952,0.01395556744558488,787.9970173977972,5.17843545821961e-09,751,7.864651671889917e-07,8.772667500015814
6,941746.8622839075,376.9581181807875,0.230597413484684,1.7446801945566683,0.013992272251798483,795.4400737140513,5.72785552321875e-09,760,2.266687322134837e-05,9.177318700007163
7,941960.5212370506,309.3773398024915,0.2815780500881752,1.7411157007220837,0.014019456015901637,808.0948188779239,4.734374670078978e-09,675,5.954524472268825e-07,9.570407400024123
8,942176.4481530184,276.31806434830673,0.2795779429396613,1.7379862290753356,0.014038075696247097,820.346087914374,6.665686669293791e-09,612,5.32235732428305e-07,9.956254800024908
9,942357.3233911718,282.31651786457985,0.2487972559764812,1.7356122811297117,0.014050689563938575,816.0108214382535,4.890807758783922e-09,631,4.970688933418578e-07,10.333627800049726
10,942483.8347690977,303.8220470213809,0.18844396266545124,1.7342065531485698,0.014060388337410431,778.1315874333741,9.306916126661235e-09,590,4.943764011328995e-07,10.711174199997913
11,942541.264351483,316.67282567671464,0.13552345621194334,1.7339594712820974,0.014070254846180144,728.4103283294971,5.757172516496212e-09,611,4.508721095158148e-07,11.21860469999956
12,942533.1159396316,315.9458969016028,0.10648752622383213,1.73399496602444,0.014082488988499772,679.1126305748385,7.524647571699461e-09,607,4.3500738364882603e-07,11.674925400002394
13,942493.1875778716,301.7497144859377,0.10821352393208508,1.7341843338554916,0.01409766554319447,621.4101154518248,9.771738973540778e-09,644,6.62076256296933e-06,12.123947100015357
14,942485.7754818873,213.04607240901254,0.16824849361957442,1.7342420501893931,0.014114099477120001,525.3580331279618,1.0974332553814747e-08,608,4.333039224828924e-05,12.522127000032924
15,942548.6755367618,161.20265160221888,0.17433324243238305,1.733846222745166,0.014128774837534145,377.0438910324392,1.1850076475639071e-08,603,3.925240165115188e-07,12.894344700034708
16,942678.8407145941,137.64737702871616,0.15386757447292312,1.7325021382808081,0.014139897825477955,281.6958861962303,1.2597922705026576e-08,554,3.6695225690129506e-07,13.27451870002551
17,942848.3121364927,125.02471190715352,0.14893932097904738,1.7307770257483144,0.01414671316860984,286.47246925451964,1.339905963959609e-08,491,1.4094220681511438e-05,13.63688160001766
18,943032.2007626812,121.80140063386865,0.13760332674539438,1.728921377795295,0.014149096333615701,250.20876262649563,1.4200196574165602e-08,387,3.510369706403979e-07,13.966126200044528
19,943204.5797777259,126.50050617642687,0.11976081911238028,1.7275934083424969,0.014147480203864736,187.69457404301647,9.121843694749165e-08,329,1.894897773957306e-07,14.26626020000549
20,943342.985128345,115.2663557239603,0.10376399425116903,1.7263706537071564,0.014142752536906361,117.04003434563947,1.830535723001958e-08,323,4.56169772917966e-07,14.578166900028009
