od_id,departure_time,scenario_id,scale_id,mode_id,nest_id,probability_conditional,person_trips_conditional_engineering_mass,person_trips_panel
panel_od_001,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6737485630674939,3.8890585545227947,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18939920617522804,1.0932633379461598,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11441783755590766,0.6604506403855971,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.022434393201370462,0.12949737272623696,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7823752724602187,4.51608124009269,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.12767364640979165,0.736966746907003,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06214543541660184,0.35872022662446534,5.772269905580789
panel_od_001,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.027805645713387596,0.16050169195662867,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6737485630674939,3.8890585545227947,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18939920617522804,1.0932633379461598,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11441783755590766,0.6604506403855971,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.022434393201370462,0.12949737272623696,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,DA,Auto,0.7823752724602187,4.51608124009269,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S2,Auto,0.12767364640979165,0.736966746907003,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S3,Auto,0.06214543541660184,0.35872022662446534,5.772269905580789
panel_od_001,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,TW,Transit,0.027805645713387596,0.16050169195662867,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6737485630674939,3.8890585545227947,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18939920617522804,1.0932633379461598,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11441783755590766,0.6604506403855971,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.022434393201370462,0.12949737272623696,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,DA,Auto,0.7823752724602187,4.51608124009269,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S2,Auto,0.12767364640979165,0.736966746907003,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S3,Auto,0.06214543541660184,0.35872022662446534,5.772269905580789
panel_od_001,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,TW,Transit,0.027805645713387596,0.16050169195662867,5.772269905580789
panel_od_002,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
