round,demand_id,artificial_flow
0,B01,5.133236568999581
0,B02,0.6466526377612567
0,B03,-0.0
0,B04,0.18341459663795456
0,B05,4.272422887405358
0,B06,-0.0
0,B07,0.36462212977800723
0,B08,3.7643986975595034
0,B09,4.598372854440392
0,B10,1.5904925248104786
1,B01,5.133236568999581
1,B02,0.6466526377612567
1,B03,-0.0
1,B04,0.18341459663795456
1,B05,4.272422887405358
1,B06,-0.0
1,B07,0.0
1,B08,3.7643986975595034
1,B09,3.5150395211070586
1,B10,2.673825858143812
2,B01,5.133236568999581
2,B02,0.6466526377612567
2,B03,-0.0
2,B04,0.18341459663795456
2,B05,4.272422887405358
2,B06,-0.0
2,B07,0.0
2,B08,3.7643986975595034
2,B09,3.5150395211070586
2,B10,2.673825858143812
3,B01,5.133236568999581
3,B02,0.6466526377612567
3,B03,-0.0
3,B04,0.18341459663795456
3,B05,4.272422887405358
3,B06,-0.0
3,B07,0.0
3,B08,3.7643986975595034
3,B09,4.598372854440392
3,B10,1.5904925248104786
4,B01,5.133236568999581
4,B02,0.6466526377612567
4,B03,-0.0
4,B04,0.18341459663795456
4,B05,4.272422887405358
4,B06,-0.0
4,B07,0.0
4,B08,2.6810653642261704
4,B09,4.598372854440392
4,B10,2.673825858143812
5,B01,5.133236568999581
5,B02,0.0
5,B03,-0.0
5,B04,0.18341459663795456
5,B05,4.272422887405358
5,B06,-0.0
5,B07,0.0
5,B08,3.7643986975595034
5,B09,4.598372854440392
5,B10,1.5904925248104786
6,B01,5.133236568999581
6,B02,0.0
6,B03,-0.0
6,B04,0.18341459663795456
6,B05,4.272422887405358
6,B06,-0.0
6,B07,0.0
6,B08,2.6810653642261704
6,B09,3.5150395211070586
6,B10,2.673825858143812
7,B01,5.133236568999581
7,B02,0.0
7,B03,-0.0
7,B04,0.18341459663795456
7,B05,4.272422887405358
7,B06,-0.0
7,B07,0.0
7,B08,2.6810653642261704
7,B09,2.4317061877737256
7,B10,2.673825858143812
8,B01,5.133236568999581
8,B02,0.0
8,B03,-0.0
8,B04,0.18341459663795456
8,B05,4.272422887405358
8,B06,-0.0
8,B07,0.0
8,B08,2.6810653642261704
8,B09,2.4317061877737256
8,B10,2.673825858143812
9,B01,5.133236568999581
9,B02,0.0
9,B03,-0.0
9,B04,0.18341459663795456
9,B05,4.272422887405358
9,B06,-0.0
9,B07,0.0
9,B08,3.7643986975595034
9,B09,1.3483728544403923
9,B10,1.5904925248104786
10,B01,5.133236568999581
10,B02,0.0
10,B03,-0.0
10,B04,0.18341459663795456
10,B05,4.272422887405358
10,B06,-0.0
10,B07,0.0
10,B08,3.7643986975595034
10,B09,1.3483728544403923
10,B10,1.5904925248104786
11,B01,5.133236568999581
11,B02,0.0
11,B03,-0.0
11,B04,0.18341459663795456
11,B05,4.272422887405358
11,B06,-0.0
11,B07,0.0
11,B08,2.6810653642261704
11,B09,1.3483728544403923
11,B10,2.673825858143812
12,B01,5.133236568999581
12,B02,0.0
12,B03,-0.0
12,B04,0.18341459663795456
12,B05,4.272422887405358
12,B06,-0.0
12,B07,0.0
12,B08,3.7643986975595034
12,B09,1.3483728544403923
12,B10,1.5904925248104786
13,B01,5.133236568999581
13,B02,0.0
13,B03,-0.0
13,B04,0.18341459663795456
13,B05,4.272422887405358
13,B06,-0.0
13,B07,0.0
13,B08,3.7643986975595034
13,B09,1.3483728544403923
13,B10,1.5904925248104786
14,B01,5.133236568999581
14,B02,0.0
14,B03,-0.0
14,B04,0.18341459663795456
14,B05,4.272422887405358
14,B06,-0.0
14,B07,0.0
14,B08,3.7643986975595034
14,B09,1.3483728544403923
14,B10,1.5904925248104786
15,B01,5.133236568999581
15,B02,0.0
15,B03,-0.0
15,B04,0.18341459663795456
15,B05,4.272422887405358
15,B06,-0.0
15,B07,0.0
15,B08,3.7643986975595034
15,B09,1.3483728544403923
15,B10,1.5904925248104786
16,B01,5.133236568999581
16,B02,0.0
16,B03,-0.0
16,B04,0.18341459663795456
16,B05,4.272422887405358
16,B06,-0.0
