demand_id,existing_path_count,min_ungenerated_reduced_cost,tolerance,closure_pass
B01,13,0.0,1e-06,True
B02,2,0.0031333333333334323,1e-06,True
B03,5,0.0,1e-06,True
B04,9,0.0,1e-06,True
B05,11,0.0,1e-06,True
B06,4,0.04194999999999993,1e-06,True
B07,2,0.0,1e-06,True
B08,35,0.0,1e-06,True
B09,43,-8.881784197001252e-16,1e-06,True
B10,43,0.0,1e-06,True
