round,pool_count,objective,min_ungenerated_reduced_cost,commit
0,152,64.39686151152952,,R3_ACCEPTED
1,155,64.39686151152954,-0.3286480000000014,DEGENERATE_NONINCREASE
2,158,64.39686151152954,-0.03310800000000125,DEGENERATE_NONINCREASE
3,161,64.39686151152954,-0.014324000000000225,DEGENERATE_NONINCREASE
4,164,64.39686151152954,-0.06432400000000027,DEGENERATE_NONINCREASE
5,167,64.39686151152954,-8.881784197001252e-16,DEGENERATE_NONINCREASE
