round,artificial_flow
0,20.55361289739253
1,20.188990767614523
2,20.188990767614523
3,20.188990767614523
4,20.188990767614523
5,19.542338129853267
6,18.459004796519935
7,17.375671463186602
8,17.375671463186602
9,16.292338129853267
10,16.292338129853267
11,16.292338129853267
12,16.292338129853267
13,16.292338129853267
14,16.292338129853267
15,16.292338129853267
16,16.292338129853267
17,15.209004796519935
18,15.209004796519935
19,15.209004796519935
20,14.943965275412875
21,14.943965275412875
22,14.534818369299739
23,14.1256714631866
24,14.1256714631866
25,14.1256714631866
26,14.1256714631866
27,14.1256714631866
28,14.1256714631866
29,14.1256714631866
30,13.85062593071281
31,13.85062593071281
32,13.840619919346079
33,13.840619919346079
34,13.840619919346079
35,13.840619919346079
36,13.840619919346079
37,13.042338129853269
38,13.042338129853269
39,13.042338129853269
40,13.042338129853269
41,13.042338129853269
42,13.042338129853267
43,13.042338129853269
44,12.757286586012745
45,12.757286586012745
46,12.757286586012745
47,12.757286586012745
48,12.270139417269064
49,12.1145721068945
50,12.1145721068945
51,12.1145721068945
52,12.083458644819586
53,11.153415881583644
54,11.132673573533703
55,11.028962033283992
56,10.07008254825031
57,9.91679197815292
58,9.91679197815292
59,9.733377381514964
60,9.712635073465023
61,9.660779303340169
62,9.608923533215314
63,9.608923533215314
64,9.608923533215314
65,8.924009615334112
66,8.924009615334112
67,8.577445970006835
68,8.52559019988198
69,8.52559019988198
70,8.52559019988198
71,8.322326123071605
72,7.339074053042894
73,7.339074053042894
74,7.238992789738273
75,7.238992789738273
76,6.747366754723917
77,5.664033421390583
78,5.325697956473618
79,5.325697956473617
80,4.580700088057251
81,4.411532355598767
82,3.3281990222654336
83,2.2448656889320997
84,2.2448656889321
85,2.1057562207386917
86,1.9923646231402845
87,1.9923646231402843
88,1.022422887405358
89,0.25574071970956047
90,0.0
