arc_id,arc_type,from_node_time_id,to_node_time_id,from_physical_node_id,to_physical_node_id,from_time,to_time,physical_link_id,cost,capacity
source_B07,source_connector,source_B07_t0,n2032_t0,source_B07,2032,0,0,,0.0,1.4479554631113405
explicit_link_18007_t0,movement,n2032_t0,n1002_t2,2032,1002,0,2,18007,0.0722319999999999,3.3333333333333335
explicit_link_18005_t2,movement,n1002_t2,n1004_t5,1002,1004,2,5,18005,0.1129479999999999,3.3333333333333335
explicit_link_17811_t5,movement,n1004_t5,n1005_t9,1004,1005,5,9,17811,0.1906746666666666,3.3333333333333335
wait_1005_t9,waiting,n1005_t9,n1005_t10,1005,1005,9,10,,0.05,26.206903467489923
explicit_link_17946_t10,movement,n1005_t10,n1189_t13,1005,1189,10,13,17946,0.141126,1.0833333333333333
explicit_link_17947_t13,movement,n1189_t13,n1487_t16,1189,1487,13,16,17947,0.134716,1.0833333333333333
explicit_link_15592_t16,movement,n1487_t16,n1492_t19,1487,1492,16,19,15592,0.104634,1.0833333333333333
sink_B07_1492_t19,sink_connector,n1492_t19,sink_B07_t100,1492,sink_B07,19,100,,0.0,26.206903467489923
