node_time_id,physical_node_id,time,node_type
n1002_t2,1002,2,physical
n1004_t5,1004,5,physical
n1005_t9,1005,9,physical
n1005_t10,1005,10,physical
n1189_t13,1189,13,physical
n1487_t16,1487,16,physical
n1492_t19,1492,19,physical
n2032_t0,2032,0,physical
source_B07_t0,source_B07,0,source
sink_B07_t100,sink_B07,100,sink
