o_zone_id,d_zone_id,purpose,person_trips_daily_pa,person_trips_midday_from_pa_direction,person_trips_midday_from_ap_reverse_direction,person_trips_midday_od,impedance_min_drive_free_flow_proxy,impedance_source,impedance_unit,distribution_model,friction_function,beta_per_minute,beta_status,od_status,period_status,conversion_support_status,external_flow_status,run_id
h3r9:892a306614fffff,h3r9:892a3066153ffff,HBW,110.52464203275848,9.123146051952018,1.00941312997995,10.132559181931969,1.703704,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a306614fffff,h3r9:892a3066157ffff,HBW,86.8499899529317,7.168945570674795,0.4026824623193503,7.571628032994146,2.4109859999999994,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a306614fffff,h3r9:892a30661cbffff,HBW,119.26541827649532,9.844644686215032,0.8149281081422605,10.659572794357292,2.7028720000000006,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a306614fffff,h3r9:892a30661cfffff,HBW,113.14538298780856,9.339472493345673,0.3483892842015795,9.687861777547251,2.5575253333333325,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a3066153ffff,h3r9:892a306614fffff,HBW,14.762681788638558,1.2185708055613813,7.5572329236318945,8.775803729193276,2.505196,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cbffff,h3r9:892a30660a3ffff,HBW,2.299070796060684,0.1897744997900331,13.006707247859888,13.19648174764992,2.3249106666666663,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cbffff,h3r9:892a30660afffff,HBW,3.231641014961934,0.2667525759390179,14.161481913493054,14.428234489432072,1.7100406666666663,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cbffff,h3r9:892a306614fffff,HBW,11.918335499916058,0.9837870855050712,8.154892240073645,9.138679325578716,2.285928,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cbffff,h3r9:892a3066203ffff,HBW,0.168234870525654,0.0138867791526695,4.190504962473482,4.204391741626152,10.068462,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cbffff,h3r9:892a306620fffff,HBW,0.4375175420110682,0.0361144479877616,4.299384225987115,4.335498673974877,11.250043333333332,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a30661cfffff,h3r9:892a306614fffff,HBW,5.095198376646477,0.4205780548019068,7.736428707174399,8.157006761976305,2.416254,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a3066203ffff,h3r9:892a3066153ffff,HBW,49.82703301336011,4.112922613054797,0.0136449816839015,4.126567594738699,10.377983333333331,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
h3r9:892a3066203ffff,h3r9:892a30661cbffff,HBW,61.28619636237103,5.058807792535555,0.0115032275070621,5.070311020042618,9.741100666666664,existing_gmns_drive_free_flow_complete_177x177_skim,minute,doubly_constrained_gravity_ipf_saved_pa,exp(-beta*drive_free_flow_minutes),0.08,INHERITED_ENGINEERING_ASSUMPTION_NOT_TDM23_CALIBRATED,REGIONAL_PRODUCTION_RATE_ACTIVITY_ATTRACTION_TRANSFER_NOT_OBSERVED_OD,TDM23_TABLE47_LOWER_CURRENT_BLOCK_NONPEAK_MD_PA_AP_FACTORS_APPLIED_WITHOUT_AM_RELABELING,UNION_OF_SAVED_PA_AND_TRANSPOSE_SUPPORT,CLOSED_CORE_SCENARIO_EXTERNAL_TRAVEL_UNKNOWN_NOT_ZERO,behavior_feedback_r1_semantic_fix_r1
