od_id,departure_time,eligible_person_trips,reason,status
panel_od_023,12:50:00,2.5238760109980487,S1_planned_service:walk:unknown_network_disconnected;S1_planned_service:bike:unknown_network_disconnected;S1_planned_service:transit_walk_access:unknown_network_disconnected_or_unsnapped;S2_exploratory_gps_overlay:walk:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:transit_walk_access:unknown_network_disconnected_or_unsnapped;Srestore_overlay_off_recomputed:walk:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:transit_walk_access:unknown_network_disconnected_or_unsnapped,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_025,12:30:00,1.7684541321417602,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_025,12:40:00,1.7684541321417602,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_025,12:50:00,1.7684541321417602,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_031,12:30:00,1.4743529248660059,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_031,12:40:00,1.4743529248660059,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_031,12:50:00,1.4743529248660059,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_034,12:30:00,1.4094580580705616,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_034,12:40:00,1.4094580580705616,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
panel_od_034,12:50:00,1.4094580580705616,S1_planned_service:bike:unknown_network_disconnected;S2_exploratory_gps_overlay:bike:unknown_network_disconnected;Srestore_overlay_off_recomputed:bike:unknown_network_disconnected,EXCLUDED_FROM_PROBABILITY_DENOMINATOR_AND_VEHICLE_ASSIGNMENT_NOT_ZERO_DEMAND
