alias_source_id,canonical_source_id,mapping_status
acs2024_5yr_bg_census_reporter_mirror,acs2024_5yr_bg_census_reporter_mirror,canonical_self
census_reporter_acs2024_5yr_bg_mirror,acs2024_5yr_bg_census_reporter_mirror,legacy_alias_normalized
ctps_tdm23_2_0_report,ctps_tdm23_2_0_report,canonical_self
ctps_tdm23_2_0_structures_performance_202503,ctps_tdm23_2_0_report,legacy_alias_normalized
ctps_tdm23_2_0_x_mc,ctps_tdm23_2_0_x_mc,canonical_self
ctps_tdm23_2_0_x_mc_base_model_output,ctps_tdm23_2_0_x_mc,legacy_alias_normalized
massgis_property_assessment_20260917,massgis_property_assessment_20260917,canonical_self
massgis_property_tax_parcels_feature_service,massgis_property_assessment_20260917,legacy_alias_normalized
massgis_property_tax_parcels_feature_service_20260917,massgis_property_assessment_20260917,legacy_alias_normalized
