case,variant,evaluation_status,gate_status,dual_bound,feasible_primal,duality_gap,max_balance_residual,max_capacity_violation,reference_objective,primal_reference_relative_gap,path_pool_size,iterations,wall_seconds
Sioux_200OD,P07,PASS,PASS_REGRESSION,942452.4034709057,943155.589771,0.0007455676536519011,0.0,0.0,943155.5897710002,2.468634509290257e-16,220,10,6.365632400033064
Sioux_250OD,P07,PASS,PASS_1_PERCENT,1516258.3474322276,1521090.8366200002,0.003176989218152705,0.0,0.0,1521090.83662,1.5306820477022934e-16,279,10,8.824263099988457
