path_id,path_index,flow
OD000_P00,0,11.019329138625709
OD000_P01,1,0.0
OD000_P02,2,0.0
OD000_P03,3,0.0
OD000_P04,4,0.0
OD001_P00,5,3.4843078114273083
OD001_P01,6,0.0
OD001_P02,7,0.0
OD001_P03,8,0.0
OD001_P04,9,0.0
OD002_P00,10,11.5025536981116
OD002_P01,11,0.0
OD002_P02,12,0.0
OD002_P03,13,0.0
OD002_P04,14,0.0
OD003_P00,15,3.393024862908005
OD003_P01,16,0.0
OD003_P02,17,0.0
OD003_P03,18,0.0
OD003_P04,19,0.0
OD004_P00,20,10.571522241582851
OD004_P01,21,0.0
OD004_P02,22,0.0
OD004_P03,23,0.0
OD004_P04,24,0.0
OD005_P00,25,3.6723058897857026
OD005_P01,26,0.0
OD005_P02,27,0.0
OD005_P03,28,0.0
OD005_P04,29,0.0
OD006_P00,30,4.191080116606083
OD006_P01,31,0.0
OD006_P02,32,0.0
OD006_P03,33,0.0
OD006_P04,34,0.0
OD007_P00,35,3.826407327875154
OD007_P01,36,0.0
OD007_P02,37,0.0
OD007_P03,38,0.0
OD007_P04,39,0.0
OD008_P00,40,11.312533586643216
OD008_P01,41,0.0
OD008_P02,42,0.0
OD008_P03,43,0.0
OD008_P04,44,0.0
OD009_P00,45,13.81968340642674
OD009_P01,46,0.0
OD009_P02,47,0.0
OD009_P03,48,0.0
OD009_P04,49,0.0
OD010_P00,50,12.180233461190973
OD010_P01,51,0.0
OD010_P02,52,0.0
OD010_P03,53,0.0
OD010_P04,54,0.0
OD011_P00,55,10.417635392734043
OD011_P01,56,0.0
OD011_P02,57,0.0
OD011_P03,58,0.0
OD011_P04,59,0.0
OD012_P00,60,12.358840177562858
OD012_P01,61,0.0
OD012_P02,62,0.0
OD012_P03,63,0.0
OD012_P04,64,0.0
OD013_P00,65,10.858108120450902
OD013_P01,66,0.0
OD013_P02,67,0.0
OD013_P03,68,0.0
OD013_P04,69,0.0
OD014_P00,70,6.508237767338373
OD014_P01,71,0.0
OD014_P02,72,0.0
OD014_P03,73,0.0
OD014_P04,74,0.0
OD015_P00,75,6.082156115965258
OD015_P01,76,0.0
OD015_P02,77,0.0
OD015_P03,78,0.0
OD015_P04,79,0.0
OD016_P00,80,3.4547572897384677
OD016_P01,81,0.0
OD016_P02,82,0.0
OD016_P03,83,0.0
OD016_P04,84,0.0
OD017_P00,85,3.3208129545536664
OD017_P01,86,0.0
OD017_P02,87,0.0
OD017_P03,88,0.0
OD017_P04,89,0.0
OD018_P00,90,4.0845502256231665
OD018_P01,91,0.0
OD018_P02,92,0.0
OD018_P03,93,0.0
OD018_P04,94,0.0
OD019_P00,95,3.7165795460406628
OD019_P01,96,0.0
OD019_P02,97,0.0
OD019_P03,98,0.0
OD019_P04,99,0.0
OD020_P00,100,6.170063954802594
OD020_P01,101,0.0
OD020_P02,102,0.0
OD020_P03,103,0.0
OD020_P04,104,0.0
OD021_P00,105,6.748338099945884
OD021_P01,106,0.0
OD021_P02,107,0.0
OD021_P03,108,0.0
OD021_P04,109,0.0
OD022_P00,110,6.576457247270275
OD022_P01,111,0.0
OD022_P02,112,0.0
OD022_P03,113,0.0
OD022_P04,114,0.0
OD023_P00,115,10.41939928214149
OD023_P01,116,0.0
OD023_P02,117,0.0
OD023_P03,118,0.0
OD023_P04,119,0.0
OD024_P00,120,12.73875820609437
OD024_P01,121,0.0
OD024_P02,122,0.0
OD024_P03,123,0.0
OD024_P04,124,0.0
OD025_P00,125,11.232802713653355
OD025_P01,126,0.0
OD025_P02,127,0.0
OD025_P03,128,0.0
OD025_P04,129,0.0
