path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
92,OD018_P02,18,5012->2032,5012,2032,2,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958,6.177072,yen_loopless_exact_link_ids_vdf_fftt,4cf6d5322454aac5
93,OD018_P03,18,5012->2032,5012,2032,3,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958,6.19429,yen_loopless_exact_link_ids_vdf_fftt,a32c94ff19faf00c
94,OD018_P04,18,5012->2032,5012,2032,4,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18141;18138;15584;17180;17179;15632;18014;17958,6.221492666666666,yen_loopless_exact_link_ids_vdf_fftt,c12360944f845c6a
95,OD019_P00,19,5012->4914,5012,4914,0,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825,6.254252,yen_loopless_exact_link_ids_vdf_fftt,570d2c16b8f5b376
96,OD019_P01,19,5012->4914,5012,4914,1,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825,6.27147,yen_loopless_exact_link_ids_vdf_fftt,5d9e80acab2ed81c
97,OD019_P02,19,5012->4914,5012,4914,2,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,6.619023333333332,yen_loopless_exact_link_ids_vdf_fftt,173ce43f2aa68a71
98,OD019_P03,19,5012->4914,5012,4914,3,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,6.6362413333333325,yen_loopless_exact_link_ids_vdf_fftt,fcc1a056c6c67b86
99,OD019_P04,19,5012->4914,5012,4914,4,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18153;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,6.694441999999999,yen_loopless_exact_link_ids_vdf_fftt,d85c481ef51b0806
100,OD020_P00,20,5039->1492,5039,1492,0,15997;16105;15986;16146;16148;16152;16143;16165;15861;16485;16455;16497;16498;16501;16381;16512;16513;16554;16551;16382;16586;15602;17020;17016;17014;17036,4.362839999999999,yen_loopless_exact_link_ids_vdf_fftt,533c7b45b663c396
101,OD020_P01,20,5039->1492,5039,1492,1,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15592,4.672044333333333,yen_loopless_exact_link_ids_vdf_fftt,38aaa20c5fc44f05
102,OD020_P02,20,5039->1492,5039,1492,2,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15592,4.686705333333332,yen_loopless_exact_link_ids_vdf_fftt,6a12f7e2199ee82c
103,OD020_P03,20,5039->1492,5039,1492,3,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15593;17036,4.713994333333333,yen_loopless_exact_link_ids_vdf_fftt,7e2a8886b23a64e4
104,OD020_P04,20,5039->1492,5039,1492,4,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15593;17036,4.728655333333332,yen_loopless_exact_link_ids_vdf_fftt,6004e3386dc979b3
105,OD021_P00,21,5039->2032,5039,2032,0,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17951;17826;18004;18006,5.052474333333333,yen_loopless_exact_link_ids_vdf_fftt,602d08e91ce5271a
106,OD021_P01,21,5039->2032,5039,2032,1,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17951;17826;18004;18006,5.067135333333333,yen_loopless_exact_link_ids_vdf_fftt,aa6bb6f7e493dccf
107,OD021_P02,21,5039->2032,5039,2032,2,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17905;17829;18008;18012;18004;18006,5.2158723333333326,yen_loopless_exact_link_ids_vdf_fftt,8e4d0acd3bd8b8d3
108,OD021_P03,21,5039->2032,5039,2032,3,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17905;17829;18008;18012;18004;18006,5.230533333333333,yen_loopless_exact_link_ids_vdf_fftt,6192ee3333c2de5f
109,OD021_P04,21,5039->2032,5039,2032,4,15997;16105;15986;16146;16148;16152;16143;16165;15861;16485;16455;16497;16498;16501;16381;16512;16513;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006,5.24256,yen_loopless_exact_link_ids_vdf_fftt,a4e456fe1167a4c4
110,OD022_P00,22,5039->4914,5039,4914,0,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,4.5566163333333325,yen_loopless_exact_link_ids_vdf_fftt,e00217faf0aef8d3
111,OD022_P01,22,5039->4914,5039,4914,1,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,4.571277333333333,yen_loopless_exact_link_ids_vdf_fftt,8e5839a62230b372
112,OD022_P02,22,5039->4914,5039,4914,2,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825,4.815360333333333,yen_loopless_exact_link_ids_vdf_fftt,3b9ce04889e1c90e
113,OD022_P03,22,5039->4914,5039,4914,3,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825,4.830021333333333,yen_loopless_exact_link_ids_vdf_fftt,0a7a363c13ff79bc
114,OD022_P04,22,5039->4914,5039,4914,4,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;18054;18060;18061;17808;17904;17825,4.944859666666666,yen_loopless_exact_link_ids_vdf_fftt,ddfa6c30147dcbab
115,OD023_P00,23,524->1492,524,1492,0,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592,2.9665273333333335,yen_loopless_exact_link_ids_vdf_fftt,e56bcbacd2ee470a
116,OD023_P01,23,524->1492,524,1492,1,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592,2.96766,yen_loopless_exact_link_ids_vdf_fftt,bd841a8ef064e139
117,OD023_P02,23,524->1492,524,1492,2,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036,3.008477333333333,yen_loopless_exact_link_ids_vdf_fftt,26f32671e3921e3c
118,OD023_P03,23,524->1492,524,1492,3,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15593;17036,3.00961,yen_loopless_exact_link_ids_vdf_fftt,ef6b2785abcb4a23
119,OD023_P04,23,524->1492,524,1492,4,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17946;17947;15592,3.2228826666666666,yen_loopless_exact_link_ids_vdf_fftt,9df4c95a93ba0274
120,OD024_P00,24,524->2032,524,2032,0,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958,2.210196666666667,yen_loopless_exact_link_ids_vdf_fftt,9c3ea881422a73bb
121,OD024_P01,24,524->2032,524,2032,1,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18152;17775;17956;18015;18018;18019;18014;17958,2.543252,yen_loopless_exact_link_ids_vdf_fftt,eaa2da7b3763c016
122,OD024_P02,24,524->2032,524,2032,2,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18141;18138;15584;17180;17179;15632;18014;17958,2.5876726666666667,yen_loopless_exact_link_ids_vdf_fftt,eb1f6a23e584fc69
123,OD024_P03,24,524->2032,524,2032,3,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18152;17775;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958,2.5901186666666662,yen_loopless_exact_link_ids_vdf_fftt,127d463103ec86be
124,OD024_P04,24,524->2032,524,2032,4,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18006,2.611016,yen_loopless_exact_link_ids_vdf_fftt,a3c36ed0e2cb80fc
125,OD025_P00,25,524->4914,524,4914,0,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,2.9852033333333328,yen_loopless_exact_link_ids_vdf_fftt,b7434f5dc4e0acd4
126,OD025_P01,25,524->4914,524,4914,1,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18153;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,3.0606219999999995,yen_loopless_exact_link_ids_vdf_fftt,af18b285b5c9e28d
127,OD025_P02,25,524->4914,524,4914,2,18214;18240;18201;18242;18091;18197;18198;18194;18188;18193;18185;18189;17774;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,3.1030499999999996,yen_loopless_exact_link_ids_vdf_fftt,d11f0b2031e8ad90
128,OD025_P03,25,524->4914,524,4914,3,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17902;17903;17825,3.165003333333333,yen_loopless_exact_link_ids_vdf_fftt,033acfe67f83408b
129,OD025_P04,25,524->4914,524,4914,4,18234;18205;18203;18240;18201;18242;18091;18197;18198;18194;18188;18193;18185;18189;17774;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,3.3461159999999994,yen_loopless_exact_link_ids_vdf_fftt,5a720b8c24f7847f
