path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
21,OD004_P01,4,2032->524,2032,524,1,17959;18013;18021;18018;15640;15585;18137;18142;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.2049486666666667,yen_loopless_exact_link_ids_vdf_fftt,01676dd529386032
22,OD004_P02,4,2032->524,2032,524,2,17959;18013;18020;15640;17180;17181;15604;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.4010166666666666,yen_loopless_exact_link_ids_vdf_fftt,00bf06250b43c8a2
23,OD004_P03,4,2032->524,2032,524,3,17959;18013;18021;18018;15640;17180;17181;15604;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.5267766666666667,yen_loopless_exact_link_ids_vdf_fftt,76314a9496bf0192
24,OD004_P04,4,2032->524,2032,524,4,17959;18013;18021;18016;17771;18121;18153;17775;17812;17773;18191;18093;18149;18114;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.635965333333333,yen_loopless_exact_link_ids_vdf_fftt,47f4da1f8adf5d12
25,OD005_P00,5,2682->1492,2682,1492,0,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16286;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036,9.023769666666665,yen_loopless_exact_link_ids_vdf_fftt,f8c804bb944548e5
26,OD005_P01,5,2682->1492,2682,1492,1,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16286;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036,9.027246666666667,yen_loopless_exact_link_ids_vdf_fftt,2ca8128cec0a52e7
27,OD005_P02,5,2682->1492,2682,1492,2,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16285;16287;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036,9.035705666666667,yen_loopless_exact_link_ids_vdf_fftt,b2f38dfe5750d131
28,OD005_P03,5,2682->1492,2682,1492,3,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16285;16287;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036,9.039182666666667,yen_loopless_exact_link_ids_vdf_fftt,efc875de2b3d7dae
29,OD005_P04,5,2682->1492,2682,1492,4,14190;13491;14027;13489;14191;14115;13490;14110;14112;14113;14104;12219;14794;14355;14360;15504;14253;16769;16770;16768;16777;16764;16763;16778;16779;15617;16286;16179;16306;15868;16507;16382;16586;15602;17020;17016;17014;17036,9.039818666666667,yen_loopless_exact_link_ids_vdf_fftt,8b39d76bcf5f3d78
30,OD006_P00,6,2682->2032,2682,2032,0,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006,9.21739333333333,yen_loopless_exact_link_ids_vdf_fftt,ec739a7c1733f730
